kode_desa,kode_provinsi,kode_kabupaten,kode_kecamatan,nama_kelurahan,kode_pos
"2001","11","01","01","Keude Bakongan","23773"
"2002","11","01","01","Ujong Mangki","23773"
"2003","11","01","01","Ujong Padang","23773"
"2004","11","01","01","Gampong Drien","23773"
"2015","11","01","01","Darul Ikhsan","23773"
"2016","11","01","01","Padang Beurahan","23773"
"2017","11","01","01","Gampong Baro","23773"
"2001","11","01","02","Fajar Harapan","23771"
"2002","11","01","02","Krueng Batee","23771"
"2003","11","01","02","Pasi Kuala Asahan","23771"
"2004","11","01","02","Gunong Pulo","23771"
"2005","11","01","02","Pulo Ie I","23771"
"2006","11","01","02","Jambo Manyang","23771"
"2007","11","01","02","Simpang Empat","23771"
"2008","11","01","02","Limau Purut","23771"
"2009","11","01","02","Pulo Kambing","23771"
"2010","11","01","02","Kampung Paya","23771"
"2011","11","01","02","Krueng Batu","23771"
"2012","11","01","02","Krueng Kluet","23771"
"2013","11","01","02","Alur Mas","23771"
"2014","11","01","02","Kampung Tinggi","23771"
"2015","11","01","02","Ruak","23771"
"2016","11","01","02","Simpang Lhee","23771"
"2017","11","01","02","Suaq Geuringgeng","23771"
"2018","11","01","02","Pasi Kuala Ba'u","23771"
"2019","11","01","02","Kedai Padang","23771"
"2020","11","01","02","Kotafajar","23771"
"2021","11","01","02","Gunung Pudung","23771"
"2001","11","01","03","Suaq Bakung","23772"
"2002","11","01","03","Rantau Binuang","23772"
"2003","11","01","03","Barat Daya","23772"
"2004","11","01","03","Sialang","23772"
"2005","11","01","03","Kapeh","23772"
"2006","11","01","03","Pulo Ie","23772"
"2007","11","01","03","Kedai Runding","23772"
"2008","11","01","03","Kedai Kandang","23772"
"2009","11","01","03","Gampong Luar","23772"
"2010","11","01","03","Ujung","23772"
"2011","11","01","03","Jua","23772"
"2012","11","01","03","Pasi Meurapat","23772"
"2013","11","01","03","Ujung Pasir","23772"
"2014","11","01","03","Geulumbuk","23772"
"2015","11","01","03","Pasie Lembang","23772"
"2016","11","01","03","Ujung Padang","23772"
"2017","11","01","03","Indra Damai","23772"
"2001","11","01","04","Bakau Hulu","23761"
"2002","11","01","04","Padang Bakau","23761"
"2003","11","01","04","Manggis Harapan","23761"
"2004","11","01","04","Pasar Lama","23761"
"2005","11","01","04","Apha","23761"
"2006","11","01","04","Ujung Batu","23761"
"2007","11","01","04","Pawoh","23761"
"2008","11","01","04","Dalam","23761"
"2009","11","01","04","Kota Palak","23761"
"2010","11","01","04","Cacang","23761"
"2011","11","01","04","Tengah Pisang","23761"
"2012","11","01","04","Pisang","23761"
"2013","11","01","04","Hulu Pisang","23761"
"2014","11","01","04","Tengah Baru","23761"
"2015","11","01","04","Lembah Baru","23761"
"2016","11","01","04","Padang Baru","23761"
"2001","11","01","05","Kuta Buloh II","23754"
"2002","11","01","05","Kuta Buloh I","23754"
"2003","11","01","05","Ie Dingen","23754"
"2004","11","01","05","Drien Jalo","23754"
"2005","11","01","05","Jambo Papeun","23754"
"2006","11","01","05","Buket Meuh","23754"
"2007","11","01","05","Blang Kuala","23754"
"2008","11","01","05","Rot Teungoh","23754"
"2009","11","01","05","Alue Baro","23754"
"2010","11","01","05","Ladang Tuha","23754"
"2011","11","01","05","Lhok Mamplam","23754"
"2012","11","01","05","Arun Tunggai","23754"
"2013","11","01","05","Blang Teungoh","23754"
"2014","11","01","05","Blang Bladeh","23754"
"2015","11","01","05","Ie Buboh","23754"
"2016","11","01","05","Keude Meukek","23754"
"2017","11","01","05","Kuta Baro","23754"
"2018","11","01","05","Tanjung Harapan","23754"
"2019","11","01","05","Labuhan Tarok","23754"
"2020","11","01","05","Lhok Aman","23754"
"2021","11","01","05","Alue Meutuah","23754"
"2022","11","01","05","Ladang Baro","23754"
"2023","11","01","05","Labuhan Tarok II","23754"
"2001","11","01","06","Dalam","23752"
"2002","11","01","06","Subarang","23752"
"2003","11","01","06","Kuta Baru","23752"
"2004","11","01","06","Gunung Ketek","23752"
"2005","11","01","06","Ladang Panton Luas","23752"
"2006","11","01","06","Madat","23752"
"2007","11","01","06","Alur Seumerah","23752"
"2008","11","01","06","Tengah","23752"
"2009","11","01","06","Gunung Cut","23752"
"2010","11","01","06","Alur Pinang","23752"
"2011","11","01","06","Kuta Blang","23752"
"2012","11","01","06","Batee Tunggai","23752"
"2013","11","01","06","Ujung Tanah","23752"
"2014","11","01","06","Ujung Kampung","23752"
"2015","11","01","06","Jilatang","23752"
"2016","11","01","06","Luar","23752"
"2017","11","01","06","Lubuk Layu","23752"
"2018","11","01","06","Suaq Hulu","23752"
"2019","11","01","06","Tampang","23752"
"2020","11","01","06","Payonan Gadang","23752"
"2021","11","01","06","Gadang","23752"
"2022","11","01","06","Baru","23752"
"2023","11","01","06","Ladang Kasik Putih","23752"
"2024","11","01","06","Air Sialang Hilir","23752"
"2025","11","01","06","Air Sialang Hulu","23752"
"2026","11","01","06","Air Sialang Tengah","23752"
"2027","11","01","06","Balai","23752"
"2028","11","01","06","Arafah","23752"
"2001","11","01","07","Sikulat","23753"
"2002","11","01","07","Sawang I","23753"
"2003","11","01","07","Meuligo","23753"
"2004","11","01","07","Lhok Pawoh","23753"
"2005","11","01","07","Sawang II","23753"
"2006","11","01","07","Ujung Karang","23753"
"2007","11","01","07","Trieng Meuduro Baroh","23753"
"2008","11","01","07","Trieng Meuduro Tunong","23753"
"2009","11","01","07","Panton Luas","23753"
"2010","11","01","07","Simpang Tiga","23753"
"2011","11","01","07","Kuta Baro","23753"
"2012","11","01","07","Blang Geulinggang","23753"
"2013","11","01","07","Mutiara","23753"
"2014","11","01","07","Ujung Padang","23753"
"2015","11","01","07","Sawang Ba'u","23753"
"2001","11","01","08","Lhok Keutapang","23718"
"2002","11","01","08","Hilir","23717"
"2003","11","01","08","Padang","23713"
"2004","11","01","08","Hulu","23714"
"2005","11","01","08","Jambo Apha","23716"
"2006","11","01","08","Tepi Air","23712"
"2007","11","01","08","Pasar","23711"
"2008","11","01","08","Lhok Bengkuang","23715"
"2009","11","01","08","Panton Luas","23711"
"2010","11","01","08","Gunung Kerambil","23711"
"2011","11","01","08","Air Berudang","23711"
"2012","11","01","08","Batu Itam","23711"
"2013","11","01","08","Panjupian","23711"
"2014","11","01","08","Lhok Rukam","23711"
"2015","11","01","08","Air Pinang","23711"
"2016","11","01","08","Lhok Bengkuang Timur","23712"
"2001","11","01","09","Keude Trumon","23774"
"2002","11","01","09","Ujong Tanoh","23774"
"2003","11","01","09","Sigleng","23774"
"2004","11","01","09","Ie Meudama","23774"
"2005","11","01","09","Teupin Tinggi","23774"
"2006","11","01","09","Kuta Baro","23774"
"2007","11","01","09","Panton Bilie","23774"
"2012","11","01","09","Kuta Padang","23774"
"2013","11","01","09","Raket","23774"
"2014","11","01","09","Gampong Teungoh","23774"
"2015","11","01","09","Seuneubok Jaya","23774"
"2016","11","01","09","Padang Harapan","23774"
"2001","11","01","10","Ladang Teungoh","23755"
"2002","11","01","10","Pucok Krueng","23755"
"2003","11","01","10","Silolo","23755"
"2004","11","01","10","Kampung Baru","23755"
"2005","11","01","10","Panton Bili","23755"
"2006","11","01","10","Paya Ateuk","23755"
"2007","11","01","10","Ladang Tuha","23755"
"2008","11","01","10","Mata Ie","23755"
"2009","11","01","10","Ujong Batee","23755"
"2010","11","01","10","Lhok Sialang Cut","23755"
"2011","11","01","10","Seuneubok","23755"
"2012","11","01","10","Ie Mirah","23755"
"2013","11","01","10","Pasie Rasian","23755"
"2014","11","01","10","Ujung Padang Rasian","23755"
"2015","11","01","10","Krueng Kalee","23755"
"2016","11","01","10","Lhok Sialang Rayeuk","23755"
"2017","11","01","10","Gampong Baro","23755"
"2018","11","01","10","Teupin Gajah","23755"
"2019","11","01","10","Ujung Padang Asahan","23755"
"2020","11","01","10","Pulo Ie II","23755"
"2021","11","01","10","Pante Raja","23755"
"2001","11","01","11","Tengah Peulumat","23758"
"2002","11","01","11","Paya Peulumat","23758"
"2003","11","01","11","Padang Peulumat","23758"
"2004","11","01","11","Aur Peulumat","23758"
"2005","11","01","11","Limau Saring","23758"
"2006","11","01","11","Beutong","23758"
"2007","11","01","11","Peuneulop","23758"
"2008","11","01","11","Gunung Rotan","23758"
"2009","11","01","11","Keumumu Hilir","23758"
"2010","11","01","11","Keumumu Hulu","23758"
"2011","11","01","11","Keumumu Seberang","23758"
"2012","11","01","11","Sawang Indah","23758"
"2001","11","01","12","Tutong","23757"
"2002","11","01","12","Teungoh Iboh","23757"
"2003","11","01","12","Peulokan","23757"
"2004","11","01","12","Kuta Iboh","23757"
"2005","11","01","12","Ujung Padang","23757"
"2006","11","01","12","Blang Baru","23757"
"2007","11","01","12","Blang Poroh","23757"
"2008","11","01","12","Pulo Ie","23757"
"2009","11","01","12","Suak Lokan","23757"
"2010","11","01","12","Iku Lhueng","23757"
"2011","11","01","12","Kuta Trieng","23757"
"2012","11","01","12","Pante Geulima","23757"
"2013","11","01","12","Panton Pawoh","23757"
"2014","11","01","12","Batee Meucanang","23757"
"2015","11","01","12","Panton Rubek","23757"
"2001","11","01","13","Koto","23770"
"2002","11","01","13","Alur Keujrun","23770"
"2003","11","01","13","Jambo Papan","23770"
"2004","11","01","13","Malaka","23770"
"2005","11","01","13","Koto Indarung","23770"
"2006","11","01","13","Siurai-Urai","23770"
"2007","11","01","13","Kampung Sawah","23770"
"2008","11","01","13","Kampung Padang","23770"
"2009","11","01","13","Pulo Air","23770"
"2010","11","01","13","Lawe Melang","23770"
"2011","11","01","13","Mersak","23770"
"2012","11","01","13","Simpang Dua","23770"
"2013","11","01","13","Simpang Tiga","23770"
"2001","11","01","14","Paya Dapur","23779"
"2002","11","01","14","Sapik","23779"
"2003","11","01","14","Alai","23779"
"2004","11","01","14","Durian Kawan","23779"
"2005","11","01","14","Lawe Sawah","23779"
"2006","11","01","14","Lawe Buluh Didi","23779"
"2007","11","01","14","Pucuk Lembang","23779"
"2008","11","01","14","Paya Laba","23779"
"2009","11","01","14","Lawe Cimanok","23779"
"2001","11","01","15","Pasie Seubadeh","23777"
"2002","11","01","15","Ladang Rimba","23777"
"2003","11","01","15","Ujong Pulo Rayeuk","23777"
"2004","11","01","15","Sawah Tingkeum","23777"
"2005","11","01","15","Simpang","23777"
"2006","11","01","15","Ujong Pulo Cut","23777"
"2008","11","01","15","Seuleukat","23777"
"2005","11","01","16","Pinto Rimba","23776"
"2006","11","01","16","Krueng Luas","23776"
"2007","11","01","16","Jambo Dalem","23776"
"2008","11","01","16","Kapa Sesak","23776"
"2009","11","01","16","Seuneubok Punto","23776"
"2010","11","01","16","Seuneubok Pusaka","23776"
"2011","11","01","16","Alur Bujok","23776"
"2012","11","01","16","Titi Poben","23776"
"2001","11","01","17","Buket Gadeng","23778"
"2002","11","01","17","Rambong","23778"
"2003","11","01","17","Seuneubok Keuranji","23778"
"2004","11","01","17","Seuneubok Alur Buloh","23778"
"2005","11","01","17","Ujong Tanoh","23778"
"2006","11","01","17","Ujong Gunong Cut","23778"
"2007","11","01","17","Ujong Gunung Rayeuk","23778"
"2008","11","01","17","Beutong","23778"
"2009","11","01","17","Jambo Keupok","23778"
"2010","11","01","17","Alurduamas","23778"
"2001","11","01","18","Ladang Rimba","23775"
"2002","11","01","18","Gunong Kapho","23775"
"2003","11","01","18","Kampong Teungoh","23775"
"2004","11","01","18","Krueng Batee","23775"
"2005","11","01","18","Pulo Paya","23775"
"2006","11","01","18","Jambo Papeun","23775"
"2007","11","01","18","Cot Bayu","23775"
"2008","11","01","18","Naca","23775"
"2009","11","01","18","Ie Jeureuneh","23775"
"2010","11","01","18","Lhok Raya","23775"
"2001","11","02","01","Engkeran","24661"
"2002","11","02","01","Rumah Kampung","24661"
"2004","11","02","01","Pasir Bangun","24661"
"2006","11","02","01","Kubu","24661"
"2007","11","02","01","Lawe Kongker","24661"
"2008","11","02","01","Kuta Cingkam II","24661"
"2009","11","02","01","Muara Baru","24661"
"2011","11","02","01","Kuta Batu I","24661"
"2012","11","02","01","Kuta Cingkam I","24661"
"2013","11","02","01","Kuta Batu II","24661"
"2014","11","02","01","Lawe Sempilang","24661"
"2015","11","02","01","Prapat Batu Nunggul","24661"
"2016","11","02","01","Pulo Sepang","24661"
"2017","11","02","01","Rih Mbelang","24661"
"2018","11","02","01","Kute Batu Baru","24661"
"2019","11","02","01","Darul Amin","24661"
"2020","11","02","01","Lawe Lubang Indah","24661"
"2021","11","02","01","Batu Hamparan","24661"
"2022","11","02","01","Paye Munje","24661"
"2023","11","02","01","Pulo Ndadap","24661"
"2024","11","02","01","Pasir Nunggul","24661"
"2025","11","02","01","Cingkham Mekhanggun","24661"
"2026","11","02","01","Pintu Khimbe","24661"
"2027","11","02","01","Lawe Kongker Hilir","24661"
"2028","11","02","01","Pulo Gadung","24661"
"2029","11","02","01","Pasikh Pehkmate","24661"
"2030","11","02","01","Pasikh Nunang","24661"
"2031","11","02","01","Deleng Kukusen","24661"
"2001","11","02","02","Bukit Merdeka","24676"
"2002","11","02","02","Darul Aman","24676"
"2003","11","02","02","Lawe Kesumpat","24676"
"2004","11","02","02","Lawe Tua Gabungan","24676"
"2005","11","02","02","Lawe Sigala II","24676"
"2006","11","02","02","Lawe Sigala Timur","24676"
"2007","11","02","02","Lawe Sigala Barat","24676"
"2008","11","02","02","Suka Damai","24676"
"2009","11","02","02","Kute Tengah","24676"
"2010","11","02","02","Tanah Baru","24676"
"2011","11","02","02","Kedataran Gabungan","24676"
"2012","11","02","02","Gabungan Parsaroan","24676"
"2013","11","02","02","Lawe Loning Gabungan","24676"
"2014","11","02","02","Lawe Loning Aman","24676"
"2015","11","02","02","Suka Maju","24676"
"2016","11","02","02","Lawe Tua Makmur","24676"
"2017","11","02","02","Lawe Tua Persatuan","24676"
"2018","11","02","02","Lawe Serke","24676"
"2019","11","02","02","Lawe Rakat","24676"
"2020","11","02","02","Suka Jaya","24676"
"2021","11","02","02","Enmiya Batu Dua Ratus","24676"
"2022","11","02","02","Sebungke","24676"
"2023","11","02","02","Bukit Sepakat","24676"
"2024","11","02","02","Lawe Loning Sepakat","24676"
"2025","11","02","02","Lawe Loning I","24676"
"2026","11","02","02","Gaya Jaya","24676"
"2027","11","02","02","Gelah Musara","24676"
"2028","11","02","02","Mulie Dame","24676"
"2029","11","02","02","Lawe Loning Hakhapen","24676"
"2030","11","02","02","Karya Indah","24676"
"2031","11","02","02","Kayu Mbelin","24676"
"2032","11","02","02","Lawe Sigala Barat Jaya","24676"
"2033","11","02","02","Lawe Pekhidinen","24676"
"2034","11","02","02","Kertimbang","24676"
"2035","11","02","02","Ndauh Nitenggo","24676"
"2001","11","02","03","Bambel Gabungan","24672"
"2002","11","02","03","Kuta Buluh","24672"
"2005","11","02","03","Lawe Hijo","24672"
"2006","11","02","03","Pinding","24672"
"2009","11","02","03","Terutung Megara Asli","24672"
"2011","11","02","03","Biak Muli","24672"
"2012","11","02","03","Kute Lang-Lang","24672"
"2013","11","02","03","Pedesi","24672"
"2014","11","02","03","Terutung Payung Hulu","24672"
"2015","11","02","03","Terutung Payung Hilir","24672"
"2016","11","02","03","Tualang Sembilar","24672"
"2017","11","02","03","Kuning I","24672"
"2018","11","02","03","Kuning II","24672"
"2019","11","02","03","Cinta Damai","24672"
"2020","11","02","03","Likat","24672"
"2021","11","02","03","Rikit","24672"
"2023","11","02","03","Bambel","24672"
"2025","11","02","03","Lawe Kihing","24672"
"2026","11","02","03","Terutung Seperai","24672"
"2027","11","02","03","Kute Seri","24672"
"2028","11","02","03","Kuta Antara","24672"
"2029","11","02","03","Pulo Perengge","24672"
"2031","11","02","03","Pulo Kendondong","24672"
"2033","11","02","03","Pancakh Iman","24672"
"2034","11","02","03","Biak Muli Baru","24672"
"2035","11","02","03","Biak Muli Pantai Raja","24672"
"2036","11","02","03","Biak Muli Sejahtera","24672"
"2037","11","02","03","Lembah Haji","24672"
"2038","11","02","03","Terutung Payung Gabungan","24672"
"2039","11","02","03","Lawe Hijo Metuah","24672"
"2040","11","02","03","Ampera","24672"
"2041","11","02","03","Tembilakh Mbakhu","24672"
"2042","11","02","03","Kute Lang-Lang Bakhu","24672"
"2001","11","02","04","Kota Kutacane","24664"
"2002","11","02","04","Perapat Hilir","24664"
"2003","11","02","04","Perapat Hulu","24664"
"2004","11","02","04","Muara Lawe Bulan","24664"
"2005","11","02","04","Mbarung","24664"
"2006","11","02","04","Batu Mbulan Asli","24664"
"2007","11","02","04","Batu Mbulan I","24664"
"2008","11","02","04","Batu Mbulan II","24664"
"2009","11","02","04","Kampung Raja","24664"
"2010","11","02","04","Pulonas","24664"
"2011","11","02","04","Kampung Melayu Gabungan","24664"
"2012","11","02","04","Terutung Pedi","24664"
"2013","11","02","04","Kute Rih","24664"
"2014","11","02","04","Gumpang Jaya","24664"
"2015","11","02","04","Pulo Latong","24664"
"2016","11","02","04","Kutacane Lama","24664"
"2017","11","02","04","Batu Mbulan Mbaru","24664"
"2018","11","02","04","Pulo Peding","24664"
"2019","11","02","04","Mendabe","24664"
"2020","11","02","04","Ujung Barat","24664"
"2021","11","02","04","Pekhapat Titi Panjang","24664"
"2022","11","02","04","Pekhapat Sepakat","24664"
"2023","11","02","04","Alas Marancar","24664"
"2024","11","02","04","Batu Mbulan Sepakat","24664"
"2025","11","02","04","Pulo Sanggakh","24664"
"2026","11","02","04","Melayu I","24664"
"2027","11","02","04","Mbarung Datuk Saudane","24664"
"2005","11","02","05","Salang Alas","24666"
"2009","11","02","05","Kuta Pasir","24666"
"2011","11","02","05","Purwodadi","24666"
"2012","11","02","05","Kuta Tinggi","24666"
"2013","11","02","05","Kampung Baru","24666"
"2014","11","02","05","Peranginan","24666"
"2015","11","02","05","Natam","24666"
"2025","11","02","05","Kumbang Jaya","24666"
"2026","11","02","05","Kumbang Indah","24666"
"2027","11","02","05","Natam Baru","24666"
"2029","11","02","05","Deleng Megakhe","24666"
"2030","11","02","05","Lawe Bekung","24666"
"2031","11","02","05","Lawe Bekung Tampahan","24666"
"2032","11","02","05","Badar Indah","24666"
"2033","11","02","05","Batu Mbekhong","24666"
"2034","11","02","05","Tanah Merah","24666"
"2035","11","02","05","Tanoh Megakhe","24666"
"2036","11","02","05","Lawe Sekerah","24666"
"2001","11","02","06","Pardomuan II","24673"
"2002","11","02","06","Lawe Desky I","24673"
"2003","11","02","06","Lawe Desky Sabas","24673"
"2004","11","02","06","Pardomuan I","24673"
"2005","11","02","06","Cinta Damai","24673"
"2006","11","02","06","Lawe Perbunga","24673"
"2007","11","02","06","Lawe Desky Tongah","24673"
"2008","11","02","06","Kute Bakti","24673"
"2010","11","02","06","Muara Situlen","24673"
"2011","11","02","06","Sejahtera","24673"
"2012","11","02","06","Kute Makmur","24673"
"2013","11","02","06","Pardamean","24673"
"2014","11","02","06","Lawe Mantik","24673"
"2015","11","02","06","Cinta Makmur","24673"
"2016","11","02","06","Muara Setia","24673"
"2017","11","02","06","Tanoh Alas","24673"
"2018","11","02","06","Sejahtera Baru","24673"
"2024","11","02","06","Lawe Tawakh","24673"
"2025","11","02","06","Sabilussalam","24673"
"2026","11","02","06","Lawe Desky Jaya","24673"
"2027","11","02","06","Pintu Alas","24673"
"2001","11","02","07","Gulo","24663"
"2002","11","02","07","Pulo Piku","24663"
"2003","11","02","07","Terutung Kute","24663"
"2004","11","02","07","Kute Ujung","24663"
"2005","11","02","07","Lawe Stul","24663"
"2006","11","02","07","Kite Merangun","24663"
"2007","11","02","07","Mamas","24663"
"2008","11","02","07","Tanjung Lama","24663"
"2009","11","02","07","Tanjung Muda","24663"
"2010","11","02","07","Rambung Teldak","24663"
"2011","11","02","07","Tanjung Aman","24663"
"2012","11","02","07","Sri Muda","24663"
"2013","11","02","07","Ujung Baru","24663"
"2014","11","02","07","Kute Rambe","24663"
"2015","11","02","07","Mamas Baru","24663"
"2016","11","02","07","Rambung Jaya","24663"
"2017","11","02","07","Makmur Jaya","24663"
"2018","11","02","07","Darul Makmur","24663"
"2019","11","02","07","Tanjung Bakhu","24663"
"2020","11","02","07","Pulo Gabung","24663"
"2021","11","02","07","Kokhtan Jaya","24663"
"2022","11","02","07","Istiqamah","24663"
"2023","11","02","07","Lawe Mamas Indah","24663"
"2024","11","02","07","Tanjung Leuser","24663"
"2025","11","02","07","Simpang IV Tanjung","24663"
"2026","11","02","07","Lawe Pinis","24663"
"2027","11","02","07","Buntul Kendawi","24663"
"2028","11","02","07","Kuning Abadi","24663"
"2001","11","02","08","Pasir Gala","24665"
"2002","11","02","08","Pasir Penjengakan","24665"
"2003","11","02","08","Kutambaru","24665"
"2004","11","02","08","Lawe Sagu Hulu","24665"
"2005","11","02","08","Lawe Sagu Hilir","24665"
"2006","11","02","08","Kute Bantil","24665"
"2011","11","02","08","Lawe Kolok","24665"
"2012","11","02","08","Lawe Rutung","24665"
"2013","11","02","08","Kampung Nangka","24665"
"2014","11","02","08","Tenembak Juhar","24665"
"2015","11","02","08","Simpang Empat","24665"
"2016","11","02","08","Kuta Buluh Botong","24665"
"2017","11","02","08","Katambaru Becawan","24665"
"2018","11","02","08","Lawe Kinge","24665"
"2019","11","02","08","Kandang Mbelang Mandiri","24665"
"2020","11","02","08","Mbacang Racun","24665"
"2021","11","02","08","Telaga Mekar","24665"
"2023","11","02","08","Pulonas Baru","24665"
"2025","11","02","08","Kuta Genting","24665"
"2026","11","02","08","Pangguh","24665"
"2027","11","02","08","Lawe Sagu","24665"
"2028","11","02","08","Pekhapet Timur","24665"
"2029","11","02","08","Bahagia","24665"
"2030","11","02","08","Kute Galuh Asli","24665"
"2001","11","02","09","Kute Lengat Pangan","24671"
"2002","11","02","09","Kute Lengat Selian","24671"
"2003","11","02","09","Tualang Baru","24671"
"2004","11","02","09","Alur Buluh","24671"
"2005","11","02","09","Maha Singkil","24671"
"2006","11","02","09","Tenembak Bintang","24671"
"2007","11","02","09","Kute Lingga","24671"
"2008","11","02","09","Rikit Bur","24671"
"2010","11","02","09","Kerukunan","24671"
"2011","11","02","09","Lawe Dua","24671"
"2012","11","02","09","Rema","24671"
"2013","11","02","09","Bambel Baru","24671"
"2014","11","02","09","Pejuang","24671"
"2015","11","02","09","Darussalam","24671"
"2016","11","02","09","Amaliah","24671"
"2017","11","02","09","Sebudi Jaya","24671"
"2018","11","02","09","Gumpang","24671"
"2019","11","02","09","Kute Gekhat","24671"
"2020","11","02","09","Paye Khambung","24671"
"2021","11","02","09","Mbak Sako","24671"
"2022","11","02","09","Darul Imami","24671"
"2023","11","02","09","Rikit Bur II","24671"
"2024","11","02","09","Kute Empat Lima","24671"
"2001","11","02","10","Simpang Semadam","24678"
"2002","11","02","10","Semadam Awal","24678"
"2003","11","02","10","Semadam Asal","24678"
"2004","11","02","10","Lawe Kinga Gabungan","24678"
"2005","11","02","10","Lawe Kinga Tebing Tinggi","24678"
"2006","11","02","10","Kebun Sere","24678"
"2007","11","02","10","Lawe Beringin Horas","24678"
"2008","11","02","10","Lawe. Berigin Gayo","24678"
"2009","11","02","10","Suka Makmur","24678"
"2010","11","02","10","Pasar Puntung","24678"
"2011","11","02","10","Titi Pasir","24678"
"2012","11","02","10","Lawe Petanduk I","24678"
"2013","11","02","10","Ngkeran Alur Buluh","24678"
"2014","11","02","10","Kampung Baru","24678"
"2015","11","02","10","Sepakat Segenap","24678"
"2016","11","02","10","Selamat Indah","24678"
"2017","11","02","10","Lawe Kinge Lapter","24678"
"2018","11","02","10","Lawe Mejile","24678"
"2019","11","02","10","Lawe Petanduk-II","24678"
"2004","11","02","11","Titi Mas","24675"
"2005","11","02","11","Meranti","24675"
"2006","11","02","11","Kute Lang-Lang","24675"
"2007","11","02","11","Lawe Sumur","24675"
"2008","11","02","11","Pardamaian","24675"
"2009","11","02","11","Salim Pipit","24675"
"2010","11","02","11","Penguhapan","24675"
"2011","11","02","11","Lumban Tua","24675"
"2012","11","02","11","Mutiara Damai","24675"
"2013","11","02","11","Dolok Nauli","24675"
"2014","11","02","11","Tuhi Jongkat","24675"
"2015","11","02","11","Uning Sigugur","24675"
"2016","11","02","11","Lumban Sitio-tio","24675"
"2017","11","02","11","Lawe Malum","24675"
"2018","11","02","11","Alur Baning","24675"
"2019","11","02","11","Lingga Alas","24675"
"2020","11","02","11","Khambung Tumbung","24675"
"2021","11","02","11","Tuah Mesade","24675"
"2022","11","02","11","Sumukh Alas","24675"
"2023","11","02","11","Alukh Bakhu","24675"
"2024","11","02","11","Sepekhinding","24675"
"2025","11","02","11","Tanoh Subukh","24675"
"2026","11","02","11","Pinggan Mbelang","24675"
"2027","11","02","11","Sigai Indah","24675"
"2028","11","02","11","Ukekh Deleng","24675"
"2029","11","02","11","Alas Mesikhat","24675"
"2030","11","02","11","Titi Hakhapen","24675"
"2001","11","02","12","Aunan Sepakat","24662"
"2002","11","02","12","Lawe Penanggalan","24662"
"2003","11","02","12","Lawe Mengkudu","24662"
"2004","11","02","12","Jambur Lak-lak","24662"
"2005","11","02","12","Simpang Tiga Jongar","24662"
"2006","11","02","12","Jongar Asli","24662"
"2007","11","02","12","Ketambe","24662"
"2008","11","02","12","Rumah Bundar","24662"
"2009","11","02","12","Penyeberangan Cingkam","24662"
"2010","11","02","12","Deleng Damar","24662"
"2011","11","02","12","Bintang Bener","24662"
"2012","11","02","12","Suka Rimbun","24662"
"2013","11","02","12","Lawe Aunan","24662"
"2014","11","02","12","Bener Bepapah","24662"
"2015","11","02","12","Penungkunen","24662"
"2016","11","02","12","Datok Pining","24662"
"2017","11","02","12","Kati Maju","24662"
"2018","11","02","12","Leuser","24662"
"2019","11","02","12","Jati Sara","24662"
"2020","11","02","12","Bukit Mbakhu","24662"
"2021","11","02","12","Kayu Metangur","24662"
"2022","11","02","12","Lawe Sembekan","24662"
"2023","11","02","12","Lawe Beringin","24662"
"2024","11","02","12","Lawe Ger-Ger","24662"
"2025","11","02","12","Simpur Jaya","24662"
"2001","11","02","13","Salang Baru","24660"
"2002","11","02","13","Ranto Dior","24660"
"2003","11","02","13","Lembah Alas","24660"
"2004","11","02","13","Tenembak Lang-Lang","24660"
"2005","11","02","13","Salang Sigotom","24660"
"2006","11","02","13","Tualang Lama","24660"
"2007","11","02","13","Gusung Batu","24660"
"2008","11","02","13","Kaya Pangur","24660"
"2009","11","02","13","Sepakat","24660"
"2010","11","02","13","Lawe Pangkat","24660"
"2011","11","02","13","Bunga Melur","24660"
"2012","11","02","13","Penampaan","24660"
"2013","11","02","13","Terutung Mbelang","24660"
"2014","11","02","13","Salang Muara","24660"
"2015","11","02","13","Lawe Hakhum","24660"
"2016","11","02","13","Tanoh Khukahen","24660"
"2017","11","02","13","Tading Ni Ulihi","24660"
"2018","11","02","13","Peseluk Pesimbe","24660"
"2019","11","02","13","Kane Lot","24660"
"2020","11","02","13","Muhajirin","24660"
"2021","11","02","13","Beriring Naru","24660"
"2022","11","02","13","Kati Jeroh","24660"
"2001","11","02","14","Terutung Megara Lawe Pasaran","24670"
"2002","11","02","14","Kisam Gabungan","24670"
"2003","11","02","14","Kisam Kute Pasir","24670"
"2004","11","02","14","Lawe Sumur","24670"
"2005","11","02","14","Lawe Sumur Baru","24670"
"2006","11","02","14","Kute Lesung","24670"
"2007","11","02","14","Berandang","24670"
"2008","11","02","14","Kute Bunin","24670"
"2009","11","02","14","Buah Pala","24670"
"2010","11","02","14","Panosan","24670"
"2011","11","02","14","Lawe Pasaran Tengku Mbelin","24670"
"2012","11","02","14","Terutung Megahke MBakhu","24670"
"2013","11","02","14","Kisam Lestari","24670"
"2014","11","02","14","Kisam Kute Rambe","24670"
"2015","11","02","14","Lawe Polak","24670"
"2016","11","02","14","Lawes Sumur Sepakat","24670"
"2017","11","02","14","Setia Baru","24670"
"2018","11","02","14","Teger Miko","24670"
"2001","11","02","15","Salim Pinim I","24674"
